nct_id,brief_title,phase,conditions,overall_status,enrollment_count,num_locations,num_countries,countries,start_date,primary_completion_date
NCT01682200,Clinical Trial on the Effects and Side Effects of ProOxy in the Treatment of Acne,PHASE1,Acne Vulgaris,COMPLETED,50.0,2,1,Philippines,2009-10,2010-03
NCT06953492,Sleep State in Lung Cancer: A Retrospective Analysis,,"Lung Adenocarcinoma, Sleep Disorders, Circadian Rhythm",COMPLETED,300.0,1,1,China,2018-01-01,2025-01-01
NCT03313492,Modifying Young Adult Skin Cancer Risk and Protective Behaviors,NA,Melanoma and Other Malignant Neoplasms of Skin,COMPLETED,1746.0,2,1,United States,2018-09-07,2019-07-31
NCT02151071,The Breast Surgery EnLight and LightPath Imaging System Study,PHASE1,Breast Neoplasms,UNKNOWN,30.0,1,1,United Kingdom,2017-09,2018-09
NCT00950144,"Studying Pain and Symptom Distress in Patients With Advanced Colon Cancer, Rectal Cancer, Pancreatic Cancer, or Liver Cancer",,"Colorectal Cancer, Depression, Fatigue, Liver Cancer, Pain, Pancreatic Cancer",COMPLETED,123.0,1,1,United States,2008-12,2010-10
NCT02509234,Trabectedin and Irinotecan for Refractory Pediatric Sarcomas,,"Recurrent Childhood Soft Tissue Sarcoma, Recurrent Ewing Sarcoma, Recurrent Rhabdomyosarcoma",UNKNOWN,30.0,0,0,,2014-02,2016-07
NCT04849364,"Circulating Tumor DNA Enriched, Genomically Directed Post-neoadjuvant Trial for Patients With Residual Triple Negative Breast Cancer",PHASE2,"Breast Cancer, Triple Negative Breast Cancer",TERMINATED,52.0,13,1,United States,2021-08-24,2024-10-24
NCT01317199,Effects of Two Doses of MPX Capsules on Rising Prostate-specific Antigen Levels in Men Following Initial Therapy for Prostate Cancer,PHASE1,Prostate Cancer,COMPLETED,143.0,8,1,United States,2011-07,2015-11
NCT02724332,Adjuvant Anti-Recurrence Treatment With Rapamycin on Early-stage HCC,PHASE1,"Hepatocellular Carcinoma, Rapamycin",COMPLETED,300.0,1,1,China,2012-11,2015-06
NCT00004832,"Randomized Study of 3,4-Diaminopyridine for Lambert-Eaton Myasthenic Syndrome",NA,Lambert-Eaton Myasthenic Syndrome,COMPLETED,26.0,0,0,,1994-08,
NCT05351398,The Clinical Efficacy of Drug Sensitive Neoadjuvant Chemotherapy Based on Organoid Versus Traditional Neoadjuvant Chemotherapy in Advanced Gastric Cancer,,Advanced Gastric Carcinoma,UNKNOWN,54.0,1,1,China,2022-04,2023-06
NCT06973798,The Study on the Effectiveness of [68Ga]Ga-HBED-CC-DiAsp PET/CT in Calculating GFR and Predicting Residual Renal Function After Partial Nephrectomy,NA,"Kidney Neoplasms / Surgery, Glomerular Filtration Rate, Positron-Emission Tomography(PET)",NOT_YET_RECRUITING,40.0,1,1,China,2025-07-01,2025-10-20
NCT06075498,Comparison of Analgesia Efficacy of Transversus Abdominis Plane Block and Posterior Approach Quadratus Lumborum Block,NA,"Acute Post-operative Pain, Nerve Block, Prostate Cancer",COMPLETED,66.0,1,1,Turkey (Türkiye),2022-02-05,2023-05-21
NCT05438498,Real World Evaluation of the Effectiveness of AZD7442 for Prevention of SARS-CoV-2,PHASE3,SARS-CoV-2 Infection,TERMINATED,550.0,40,1,United States,2022-06-03,2023-04-29
NCT03727698,Prospective Evaluation of Radiotherapy Using Magnetic Resonance Image Guided Treatment,NA,Cancer,UNKNOWN,200.0,1,1,United Kingdom,2019-01-11,2023-11
NCT00319787,Combination Casodex® and Iressa™ in Locally Advanced Prostate Cancer,PHASE2,Locally Advanced Prostate Cancer,COMPLETED,102.0,3,1,Norway,2003-12,
NCT03871387,The Effects of Deep Neuromuscular Blockade During Robot-assisted Transaxillary Thyroidectomy on Postoperative Pain and Sensory Change,NA,Thyroid Neoplasms,COMPLETED,88.0,1,1,South Korea,2019-03-04,2020-02-24
NCT06630793,IMRT Versus IMPT With Concurrent Chemotherapy for Locally Advanced Anal Canal Cancer,NA,Malignant Neoplasm of Anal Canal,RECRUITING,108.0,1,1,India,2025-03-18,2027-11-01
NCT03477721,The Role of the Muscle-nervous System Interface in Cancer Cachexia,,Cachexia; Cancer; Sarcopenia,UNKNOWN,40.0,1,1,Italy,2018-03-16,2018-04-16
NCT04765514,Chemoradiotherapy Versus Biomarker-Guided Therapy for Elderly and Frail GBM Patients,PHASE2,Glioblastoma Multiforme,RECRUITING,121.0,2,1,Canada,2022-07-27,2032-06
NCT03760614,A Study of Entinostat and FOLFOX in Subjects With Pancreatic Adenocarcinoma,PHASE1,Pancreas Cancer,WITHDRAWN,0.0,0,0,,2021-01,2022-07
NCT05232916,Phase 3 Study to Evaluate the Efficacy and Safety of HER2/Neu Peptide GLSI-100 (GP2 + GM-CSF) in HER2/Neu Positive Subjects,PHASE3,Breast Cancer,RECRUITING,750.0,161,8,"France, Germany, Ireland, Italy, Poland, Romania, Spain, United States",2022-08-11,2026-12
NCT06694116,Charcoal Carbon Black Dye Use in Sentinel Lymph Node Mapping in Early Stage Vulvar Cancer,NA,"Vulval Cancer, Sentinel Lymph Node Detection",ACTIVE_NOT_RECRUITING,40.0,1,1,Turkey (Türkiye),2024-05-30,2026-11
NCT06113016,Prevention of Frailty With Fisetin and Exercise in Breast Cancer Survivors,PHASE2,"Anatomic Stage I Breast Cancer American Joint Committee on Cancer (AJCC) v8, Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage III Breast Cancer AJCC v8, Early Stage Breast Carcinoma",RECRUITING,164.0,6,1,United States,2024-07-23,2028-06-30
NCT04774406,Arterial Hypertension Related to PARP Inhibitors (ArteRIB),,Cancer,COMPLETED,2336.0,1,1,France,2021-02-24,2021-05-09
NCT00424606,Epirubicin and Docetaxel Combination (ET) or Epirubicin Followed by Docetaxel (E/T) for Node Negative (N0) High Risk Breast Cancer Patients,PHASE3,Breast Cancer,COMPLETED,658.0,12,1,Greece,2001-06,2013-08
NCT07159906,"Homoharringtonine, BCL-2 Inhibitor, Rituximab, and Prednisone in Relapsed/Refractory Diffuse Large B-Cell Lymphoma",PHASE1,"Diffuse Large B-Cell Lymphoma, Relapsed Non-Hodgkin Lymphoma, Refractory Non-Hodgkin Lymphoma",NOT_YET_RECRUITING,62.0,1,1,China,2025-09-08,2027-08-01
NCT00264004,Study to Investigate the Management of Hypertension and Efficacy of AZD2171 in Patients With Advanced Solid Tumours,PHASE2,Tumors,COMPLETED,119.0,6,3,"Germany, Netherlands, United Kingdom",2005-11,2007-01
NCT06851104,A Prospective Study of Cadonilimab in Hepatocellular Carcinoma After Radical Surgery With High Risk of Recurrence,PHASE2,Hepatocellular Carcinoma (HCC),NOT_YET_RECRUITING,45.0,1,1,China,2025-05-01,2025-12-31
NCT00766233,Optimal Application Dose of Superficial Hyperthermia,PHASE3,Tumors,COMPLETED,17.0,1,1,Germany,2008-01,2016-01
NCT02420652,Metformin Hydrochloride and Aspirin in Treating Patients With Hormone-Dependent Prostate Cancer That Has Progressed After Surgery or Radiation Therapy,PHASE2,"Recurrent Prostate Carcinoma, Stage I Prostate Cancer, Stage IIA Prostate Cancer, Stage IIB Prostate Cancer, Stage III Prostate Cancer",TERMINATED,27.0,1,1,United States,2015-06-23,2019-12-01
NCT02137252,Naltrexone RCT for Treatment-Emergent Fatigue in Patients Receiving Radiation Therapy for Breast Cancer,PHASE2,"Invasive Breast Cancer (Stage I-III), Ductal Carcinoma in Situ, Lobular Carcinoma in Situ, Lobular Carcinoma, Fatigue Related to Cancer Treatment",TERMINATED,3.0,2,1,United States,2014-05,2015-08-01
NCT07259447,Efficiency of Contemporary Off-line Adaptive Radiotherapy for Lung Cancer,NA,"NSCLC (Advanced Non-small Cell Lung Cancer), Adaptive Radiotherapy",RECRUITING,30.0,1,1,Belgium,2024-06-21,2026-08-01
NCT02836847,Molecularly Target Therapy With GEMOX in Advanced or Recurrent Extrahepatic Cholangiocarcinoma and Gallbladder Carcinoma,PHASE2,"Cholangiocarcinoma of the Extrahepatic Bile Duct, Gallbladder Cancer",UNKNOWN,152.0,1,1,China,2016-07,2019-12
NCT03144947,Biomarker Study of Immune-mediated Mechanism of Action of Neoadjuvant Trastuzumab in HER2+ Breast Cancer Patients,PHASE2,"Cancer, Breast",UNKNOWN,65.0,21,1,Italy,2016-11-29,2021-03-15
NCT02553447,Cholecalciferol in Newly Diagnosed Non-Hodgkin Lymphoma or Chronic Lymphocytic Leukemia With Vitamin D Deficiency,NA,"Chronic Lymphocytic Leukemia, Non-Hodgkin Lymphoma, Untreated Chronic Lymphocytic Leukemia, Vitamin D Deficiency",COMPLETED,197.0,1,1,United States,2015-10-19,2025-04-12
NCT02238938,Piecemeal Versus En Bloc Resection of Large Rectal Adenomas,NA,"Colorectal Adenoma With Mild Dysplasia, Colorectal Adenoma With Severe Dysplasia, Colorectal Adenomatous Polyp, Colorectal Low Grade Intraepithelial Neoplasia, Colorectal High Grade Intraepithelial Neoplasia",TERMINATED,110.0,6,2,"Germany, United Kingdom",2014-04,2021-05-30
NCT06190249,Efficacy & Safety for LN144 With Pembrolizumab With High Risk Stage IIIb-dResectable Melanoma,PHASE1,"Stage IIIB Melanoma, Stage IIIC Melanoma, Stage IIID Melanoma",WITHDRAWN,0.0,0,0,,2024-12-02,2028-01
NCT05379049,Therapeutic Response to Tumor Necrosis Factor-alpha (TNF-alpha) Antagonists in Rheumatoid Arthritis.,,"Rheumatoid Arthritis, Inflammatory Arthritis, Ankylosing Spondylitis",UNKNOWN,80.0,1,1,Iraq,2022-03-01,2022-08-31
NCT00826449,Dasatinib and Erlotinib in Non-Small Cell Lung Cancer (NSCLC),PHASE1,"Lung Cancer, Non-Small Cell Lung Cancer",COMPLETED,53.0,1,1,United States,2009-02,2014-06
NCT02028039,IPI-145 in Relapsed Refractory Acute Lymphoblastic Leukemia (ALL),PHASE2,Leukemia,WITHDRAWN,0.0,0,0,,2013-12,2016-12
NCT04053439,Clonal Hematopoiesis is a Risk Factor for Chemotherapy-Related Complications,,"Lymphoma, Chemotherapeutic Toxicity",RECRUITING,188.0,1,1,Canada,2019-08-08,2026-01
NCT06788639,A Study of Patients With Relapsed/Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma Treated With Lisocabtagene Maraleucel in the Post-Marketing Setting,,"Chronic Lymphocytic Leukemia (CLL), Small Lymphocytic Lymphoma (SLL)",RECRUITING,300.0,1,1,United States,2025-02-04,2044-06-30
NCT05684939,"Relation Between Substance Use and Pain, in Patients Suffering or Surviving From Cancer and Followed in France",,"Cancer, Pain, Substance Use",COMPLETED,2010.0,1,1,France,2023-01-27,2023-03-20
NCT05576077,A Study of TBio-4101 (TIL) and Pembrolizumab in Patients With Advanced Solid Tumors,PHASE1,"Breast Cancer, Colorectal Cancer, Uveal Melanoma, Cutaneous Melanoma, Non-Small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma",TERMINATED,31.0,13,2,"Canada, United States",2023-01-17,2025-02-04
NCT06601075,The Role of 18F-FDG and 68Ga-FAPI PET/CT in the Diagnosis and the Efficacy Evaluation of Advanced Colorectal Cancer (peritoneal Metastasis With/without Other Metastases),,Advanced Colorectal Cancer,RECRUITING,30.0,1,1,China,2025-02-01,2026-03-31
NCT03923257,Dosimetry Guided PRRT With 177Lu-DOTATATE in Children and Adolescents,PHASE1,"Neuroendocrine Tumors, Pheochromocytoma, Paraganglioma",WITHDRAWN,0.0,1,1,United States,2020-08-04,2021-06-03
NCT06150157,A Study of JNJ-88549968 for the Treatment of Calreticulin (CALR)-Mutated Myeloproliferative Neoplasms,PHASE1,"Myeloproliferative Disorders, Essential Thrombocythemia, Neoplasms, Myelofibrosis",RECRUITING,220.0,29,8,"Canada, France, Germany, Israel, Italy, Spain, United Kingdom, United States",2023-12-20,2026-12-04
NCT05243212,"Study of CAR-BCMA, a Chimeric Antigen Receptor T Cell (CAR-T) Therapy Directed Against BCMA in Subjects With Multiple Myeloma",PHASE1,"Multiple Myeloma, Relapse Multiple Myeloma",RECRUITING,75.0,1,1,Israel,2021-09-19,2024-09-01
NCT02267967,Phase Ib/II Study of Sulfatinib in Treating Advanced Neuroendocrine Tumors,PHASE1,Neuroendocrine Tumors,COMPLETED,81.0,7,1,China,2014-10-31,2017-08-23
NCT05467267,Personalized Urine Biomarker for Patients With Bladder Cancer,,Bladder Neoplasm,UNKNOWN,20.0,0,0,,2022-08,2024-08
NCT01175967,Use of Palliative Performance and Symptom Distress Scales in Older Patients With Advanced Ovarian Cancer,,Ovarian Cancer,TERMINATED,11.0,1,1,United States,2010-06,2015-05
NCT03727867,Efficacy of Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor Combined With Early Stereotactic Body Radiation Therapy to the Primary Tumor in Advanced Non-small Cell Lung Cancer,PHASE3,Advanced Non-small Cell Lung Cancer,UNKNOWN,300.0,1,1,China,2019-06-01,2021-06-01
NCT05871567,Predictive Value of DNA Mismatch Repair System in Colorectal Cancers,,MSI-H Colorectal Cancer,COMPLETED,403.0,0,0,,2014-01-01,2021-12-31
NCT06524167,RW Study of Adjuvant Radiotherapy in Locally Advanced Thyroid Cancer,,Thyroid Cancer,RECRUITING,80.0,1,1,China,2024-07-02,2031-06-30
NCT01745367,Tivozanib in Combination With Paclitaxel in Patients With Locally Recurrent or Metastatic Triple Negative Breast Cancer,PHASE2,Triple Negative Breast Cancer,TERMINATED,30.0,54,10,"Australia, Canada, Germany, Italy, South Korea, Spain, Taiwan, The Bahamas, Ukraine, United States",2012-11,2014-06
NCT02492867,A Pilot Study of Response-Driven Adaptive Radiation Therapy for Patients With Locally Advanced Non-Small Cell Lung Cancer,NA,"Carcinoma, Non-Small-Cell Lung",COMPLETED,49.0,2,1,United States,2016-01-14,2021-11-28
NCT03638167,EGFR806-specific CAR T Cell Locoregional Immunotherapy for EGFR-positive Recurrent or Refractory Pediatric CNS Tumors,PHASE1,"Central Nervous System Tumor, Pediatric, Glioma, Ependymoma, Medulloblastoma, Germ Cell Tumor, Atypical Teratoid/Rhabdoid Tumor, Primitive Neuroectodermal Tumor, Choroid Plexus Carcinoma, Pineoblastoma",COMPLETED,11.0,1,1,United States,2019-03-19,2023-12-22
NCT05818267,Efficacy and Safety of Regorafenib Maintenance Therapy in Patients With Metastatic Colorectal Cancer (mCRC),NA,Colorectal Cancer,UNKNOWN,30.0,1,1,China,2023-06-26,2025-03
NCT04054167,Ultra Low Dose Radiation Delivered Before or After Chemotherapy-Free Targeted Therapy in Treating Patients With Relapsed or Refractory Mantle Cell Lymphoma,PHASE2,"Recurrent Mantle Cell Lymphoma, Refractory Mantle Cell Lymphoma",RECRUITING,80.0,1,1,United States,2019-06-14,2027-12-31
NCT00006100,"Allogeneic Epstein Barr Virus-Specific Cytotoxic T-Lymphocytes in Treating Patients With Progressive, Relapsed, or Refractory Hodgkin's Lymphoma",PHASE1,Lymphoma,UNKNOWN,,1,1,United States,2000-04,
NCT04746300,imPlementing ROutine Molecular Characterization in Patients With Metastatic Castration Resistant ProstaTe Cancer by NGS,,Metastatic Prostate Cancer,UNKNOWN,400.0,1,1,Netherlands,2020-02-04,2024-02
NCT01747707,"Cisplatin,Docetaxel and S-1 for Advanced Gastric and Gastroesophageal Junction Cancer",PHASE2,"Gastric Cancer, Gastroesophageal Junction Cancer",UNKNOWN,40.0,1,1,China,2012-09,2013-09
NCT02013492,Propranolol Hydrochloride in Treating Patients With Locally Recurrent or Metastatic Solid Tumors That Cannot Be Removed By Surgery,EARLY_PHASE1,"Male Breast Cancer, Recurrent Melanoma, Stage IV Breast Cancer, Stage IV Melanoma, Stage IV Ovarian Epithelial Cancer, Stage IV Ovarian Germ Cell Tumor, Unspecified Adult Solid Tumor, Protocol Specific, Hepatocellular Carcinoma",COMPLETED,1.0,1,1,United States,2014-01-21,2015-06-12
NCT04400292,Sentinel Lymph Node Mapping in Esophageal Cancer Using ICG Dye and NIR Imaging,NA,Esophageal Cancer,ACTIVE_NOT_RECRUITING,90.0,1,1,United States,2020-05-20,2026-05
NCT00908336,Erlotinib and Docetaxel in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) After Failure of One Chemotherapy Regimen,PHASE2,Non-Small Cell Lung Cancer,UNKNOWN,70.0,8,1,Spain,2009-03,2010-08
NCT06183736,CVL237 Tablets in the Treatment of Advanced Solid Tumors With PTEN Deficiency,PHASE2,Advanced Solid Tumors,NOT_YET_RECRUITING,98.0,1,1,China,2023-12-20,2025-06-30
NCT00003311,Combination Chemotherapy in Treating Patients With Newly Diagnosed Mantle Cell Lymphoma,PHASE2,Lymphoma,COMPLETED,19.0,1,1,United States,1998-05-20,2007-04-18
NCT00950911,Open Label Extension to SRE Studies in United Kingdom and Czech Republic Only,PHASE3,"Bone Metastases in Men With Hormone-Refractory Prostate Cancer, Bone Metastases in Subjects With Advanced Breast Cancer, Bone Metastases in Subjects With Advanced Cancer or Multiple Myeloma",COMPLETED,35.0,17,2,"Czechia, United Kingdom",2009-07,2012-02
NCT03103711,Promotion of Emotional Well-being in Hospitalized Cancer Patients by Virtual Reality,NA,Cancer,COMPLETED,76.0,0,0,,2010-07,2011-12
NCT00100711,Study of Motexafin Gadolinium (MGd) in Patients With Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,PHASE2,"Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma",TERMINATED,27.0,3,1,United States,2004-10,2010-02
NCT03924271,Prevalence Study of Iron Deficiency in Patients With Cancer,NA,Iron-deficiency,UNKNOWN,1200.0,0,0,,2019-05-15,2019-06-30
NCT02951871,Causes of Death in Follicular Lymphoma: a Single Center Retrospective Analysis,,This Study Describes the Different Causes of Death in 237 FL Patients,COMPLETED,237.0,1,1,France,2000-01,2016-01
NCT02186444,Navigator Guided e-Psychoeducational Intervention,,Prostate Cancer,COMPLETED,391.0,1,1,United States,2014-06-02,2016-12-30
NCT04149444,A Study of Trifluridine/Tipiracil in Triple Negative Metastatic Breast Cancer,PHASE2,Metastatic Triple Negative Breast Cancer,WITHDRAWN,0.0,1,1,Canada,2020-02,2020-06-09
NCT02941744,A Clinical Trial: Adjuvant Low-dose Ipilimumab + Nivolumab After Resection of Melanoma Macrometastases,PHASE1,"Stage IIIC Skin Melanoma, Stage IV Skin Melanoma",COMPLETED,56.0,1,1,Belgium,2016-03,2018-12
NCT04907344,Study of Camrelizumab Plus Chemotherapy as Neoadjuvant Therapy in Participants With Triple Negative Breast Cancer (TNBC),PHASE2,Triple Negative Breast Cancer,UNKNOWN,420.0,2,1,China,2021-06-15,2025-06-30
NCT02086734,Perfusion CT as a Predictor for Response to Antiangiogenic Therapy in Patients With Metastasized Renal Cell Carcinoma,,Metastatic Renal Cancer,COMPLETED,60.0,1,1,Germany,2012-04,2018-07
NCT00659334,"Imaging of Intravenous (IV) Combidex to Brain, Intra-cerebral Tumors and in Central Nervous System (CNS) Inflammation",PHASE2,Brain Neoplasms,TERMINATED,116.0,1,1,United States,2000-08,2010-03
NCT00295971,"Donor Stem Cell Transplant in Treating Young Patients With Myelodysplastic Syndrome, Leukemia, Bone Marrow Failure Syndrome, or Severe Immunodeficiency Disease",PHASE1,"Congenital Amegakaryocytic Thrombocytopenia, Leukemia, Myelodysplastic Syndromes, Severe Congenital Neutropenia",COMPLETED,21.0,2,1,United States,2005-04,2011-12
NCT06849544,Phase II Trial to Investigate the Safety and Efficacy of Four Dosing Regimens of OTL78 Injection,PHASE2,"Prostate Cancer Surgery, Prostate Cancer Metastatic Disease",RECRUITING,20.0,3,1,United States,2025-04-02,2026-01
NCT00566644,Intrauterine Levonorgestrel and Observation or Observation Alone in Preventing Atypical Endometrial Hyperplasia and Endometrial Cancer in Women With Hereditary Non-Polyposis Colorectal Cancer or Lynch Syndrome,PHASE3,"Endometrial Cancer, Hereditary Non-polyposis Colon Cancer (hmsh2, hmlh1, hpms1, hpms2)",TERMINATED,600.0,20,1,United Kingdom,2007-07,2008-10
NCT05497544,ORE - 30 Seconds (Oncologists Recommend Exercise in 30 Secs),NA,Lung Cancer,UNKNOWN,60.0,1,1,Italy,2022-07-01,2023-09-01
NCT04738734,CellFX Comparison to Cryosurgery in Cutaneous Non-Genital Common Warts,NA,"Warts, Warts Hand, Verruca",COMPLETED,150.0,10,1,United States,2021-02-16,2021-12-15
NCT04095234,Integrative Medicine for Pain in Patients With Advanced Cancer Trial (IMPACT),PHASE2,Cancer Pain,ACTIVE_NOT_RECRUITING,300.0,8,1,United States,2019-09-17,2022-09-30
NCT00048334,Depsipeptide to Treat Thyroid and Other Advanced Cancers,PHASE1,Neoplasms,COMPLETED,28.0,1,1,United States,2002-10-26,2010-04-01
NCT01678664,Everolimus After (Chemo)Embolization for Liver Metastases From Digestive Endocrine Tumors,PHASE2,"Neuroendocrine Tumors, Hepatic Metastases, Metastases",COMPLETED,74.0,18,1,France,2012-12,2018-09
NCT00003509,Antineoplaston Therapy in Treating Patients With Stage IV Melanoma,PHASE2,Stage IV Melanoma,TERMINATED,13.0,1,1,United States,1996-03-27,2005-02-14
NCT06449209,"Safety, Preliminary Effectiveness of BNT327, an Investigational Therapy for Patients With Small-cell Lung Cancer in Combination With Chemotherapy",PHASE2,"Extensive-stage Small-cell Lung Cancer, Small-cell Lung Cancer",ACTIVE_NOT_RECRUITING,110.0,64,5,"Australia, South Korea, Turkey (Türkiye), United Kingdom, United States",2024-08-05,2027-06
NCT05068609,A Study of Nivolumab in Participants With Squamous Cell Carcinoma of the Head & Neck (SCCHN) - Patient Reported Outcomes (PRO),,Squamous Cell Carcinoma of the Head and Neck,COMPLETED,509.0,1,1,United States,2020-08-13,2021-10-18
NCT01325909,Exercise Training in Colorectal Cancer Patients,NA,Rectal Cancer,COMPLETED,35.0,1,1,United Kingdom,2011-03,2014-04
NCT00793299,Burden of Cancer in Children: A Pilot Study to Investigate the Impact and Content of Video Illness Narratives,NA,Cancer,COMPLETED,11.0,1,1,United States,2008-11,2009-06
NCT02979899,Trial of TRC105 and Pazopanib Versus Pazopanib Alone in Patients With Advanced Angiosarcoma,PHASE3,Advanced Angiosarcoma,COMPLETED,128.0,39,8,"Austria, France, Germany, Italy, Poland, Spain, United Kingdom, United States",2017-02-13,2019-04-11
NCT04217798,Efficacy and Safety of Niraparib Combined With Oral Etoposide in Platinum Resistant/Refractory Recurrent Ovarian Cancer,PHASE2,Ovarian Cancer,UNKNOWN,36.0,2,1,China,2020-05-21,2022-03-01
NCT06505863,Quality of Life After Transanal Total Mesorectal Excision Compared to Traditional Total Mesorectal Excision,,"Rectal Cancer, Quality of Life, Functional Outcome, Surgery",COMPLETED,249.0,1,1,Switzerland,2024-08-01,2025-01-01
NCT01402063,PPX and Concurrent Radiation for Newly Diagnosed Glioblastoma Without MGMT Methylation,PHASE2,Glioblastoma Multiforme,COMPLETED,63.0,9,1,United States,2011-09,2014-04
NCT00003287,Combination Chemotherapy in Treating Patients With Recurrent or Metastatic Colorectal Cancer,PHASE3,Colorectal Cancer,COMPLETED,554.0,36,9,"Austria, Belgium, Canada, France, Germany, Greece, Italy, Norway, Portugal",1998-03,2002-03
NCT04908787,"A Phase III Study of BD0801 Combined With Chemotherapy in Recurrent, Platinum-resistant Epithelial Ovarian Cancer",PHASE3,Ovarian Cancer,COMPLETED,421.0,55,1,China,2021-06-11,2023-12-08
NCT01114087,Impact of the Inhibitors of Tyrosine Kinase on the Male Fertility,NA,"Chronic Myeloid Leukemia, Gastrointestinal Stromal Tumors",COMPLETED,2.0,1,1,France,2008-10,2009-05
NCT01221987,Cross-sectional Study on Human Papillomavirus Type Distribution in Adult Women Diagnosed With Cervical Cancer,,"Neoplasms, Uterine Cervix, Cervical Cancer",COMPLETED,40.0,0,0,,2009-10,2010-09
